Player ID,Year,Rnd,Player,Pos,PB,St,G,SB,College/Univ
374,1984,5,Van Hughes,DE,0,0,8,0,Texas St.
375,1984,6,Chris Brown,DB,0,0,22,0,Notre Dame
376,1984,7,Scott Campbell,QB,0,1,45,0,Purdue
377,1984,8,Randy Rasmussen,C,0,0,43,0,Minnesota
378,1984,9,Rich Erenberg,RB,0,1,46,0,Colgate
379,1984,10,Kirk McJunkin,T,0,0,,0,Texas
380,1984,11,Elton Veals,RB,0,0,15,0,Tulane
381,1984,12,Scoop Gillespie,RB,0,0,14,0,William Jewell
382,1983,1,Gabe Rivera,NT,0,0,6,0,Texas Tech
383,1983,2,Wayne Capers,WR,0,1,47,0,Kansas
384,1983,3,Todd Seabaugh,LB,0,0,16,0,San Diego St.
385,1983,4,Bo Metcalf,DB,0,0,1,0,Baylor
386,1983,5,Paul Skansi,WR,0,0,115,0,Washington
387,1983,5,Gregg Garrity,WR,0,0,79,0,Penn St.
388,1983,6,Eric Williams,DB,0,3,50,0,North Carolina St.
389,1983,7,Mark Kirchner,G,0,0,32,0,Baylor
390,1983,8,Henry Odom,RB,0,0,16,0,South Carolina St.
391,1983,8,Craig Dunaway,TE,0,0,11,0,Michigan
392,1983,9,Blake Wingle,G,0,1,39,0,UCLA
393,1983,10,Roosevelt Straughter,DB,0,0,,0,La-Monroe
394,1983,11,Mark Raugh,TE,0,0,,0,West Virginia
395,1983,12,Roger Wiley,RB,0,0,,0,Sam Houston St.
396,1982,1,Walter Abercrombie,RB,0,4,84,0,Baylor
397,1982,2,John Meyer,T,0,0,,0,Arizona St.
398,1982,3,Mike Merriweather,LB,3,9,149,0,Pacific
399,1982,4,Rick Woods,DB,0,1,71,0,Boise St.
400,1982,5,Ken Dallafior,G,0,4,87,0,Minnesota
401,1982,6,Mike Perko,NT,0,0,9,0,Utah St.
402,1982,6,Craig Bingham,LB,0,0,40,0,Syracuse
403,1982,7,Edmund Nelson,DE,0,2,84,0,Auburn
404,1982,7,Emil Boures,T,0,0,35,0,Pittsburgh
405,1982,8,John Goodson,P,0,0,9,0,Texas
406,1982,9,Mike Hirn,TE,0,0,,0,Central Michigan
407,1982,10,Sal Sunseri,LB,0,0,,0,Pittsburgh
408,1982,11,Mikal Abdul-Saboor,G,0,0,,0,Morgan St.
409,1982,12,Al Hughes,DE,0,0,,0,Western Michigan
410,1981,1,Keith Gary,DE,0,3,86,0,Oklahoma
411,1981,2,Anthony Washington,DB,0,0,57,0,Fresno St.
412,1981,3,Rick Donnalley,C,0,2,71,0,North Carolina
413,1981,4,Robbie Martin,WR,0,0,72,0,Cal Poly-San Luis Obispo
414,1981,5,Ricky Martin,WR,0,0,,0,New Mexico
415,1981,6,Bryan Hinkle,LB,0,8,163,0,Oregon
416,1981,7,David Little,LB,1,9,179,0,Florida
417,1981,8,Frank Wilson,TE,0,0,1,0,Rice
418,1981,9,James Hunter,NT,0,0,9,0,USC
419,1981,10,Mike Mayock,DB,0,0,9,0,Boston Col.
420,1981,11,Rick Trocano,QB,0,0,8,0,Pittsburgh
421,1980,1,Mark Malone,QB,0,5,73,0,Arizona St.
422,1980,2,Bob Kohrs,DE,0,0,55,0,Arizona St.
423,1980,2,John Goodman,DE,0,4,64,0,Oklahoma
424,1980,3,Ray Sydnor,TE,0,0,,0,Wisconsin
425,1980,4,Bill Hurley,DB,0,0,23,0,Syracuse
426,1980,5,Craig Wolfley,G,0,8,153,0,Syracuse
427,1980,6,Tunch Ilkin,T,2,10,177,0,Indiana St.
428,1980,7,Nate Johnson,WR,0,0,16,0,Hillsdale
429,1980,8,Ted Walton,DB,0,0,,0,Connecticut
